City/Town,Ward,Pct,"Annmarie Christensen","Stuart Lindberg",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican
Cavendish,,,301,364,1,37,0,703
Weathersfield,,,834,690,0,75,0,"1,599"
TOTALS,,,"1,135","1,054",1,112,0,"2,302"
