City/Town,Ward,Pct,"Trevor Squirrell","George Till","Debbie Rackliff","Bill Lawrence",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Jericho,,,"1,674","1,796","1,365","1,098",5,748,0,"6,686"
Underhill,,,"1,107",944,636,778,4,515,0,"3,984"
TOTALS,,,"2,781","2,740","2,001","1,876",9,"1,263",0,"10,670"
