City/Town,Ward,Pct,"Connie Quimby","Ed Clark",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic
Brunswick,,,21,33,2,2,0,58
Concord,,,340,225,0,11,1,577
Granby,,,33,9,0,1,0,43
Guildhall,,,67,78,0,3,0,148
Kirby,,,136,122,0,8,0,266
Lunenburg,,,326,216,0,20,0,562
Maidstone,,,59,52,1,6,0,118
Victory,,,38,24,0,6,0,68
TOTALS,,,"1,020",759,3,57,1,"1,840"
