City/Town,Ward,Pct,"Fred K. Baser","Dave Sharpe","Valerie Mullin","Mari Cordes",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic,Republican,Progressive/Democratic
Bristol,,,"1,157",903,730,574,1,539,0,"3,904"
Lincoln,,,370,406,209,400,3,218,0,"1,606"
Monkton,,,561,594,517,418,2,364,0,"2,456"
Starksboro,,,442,483,321,366,1,273,0,"1,886"
TOTALS,,,"2,530","2,386","1,777","1,758",7,"1,394",0,"9,852"
