City/Town,Ward,Pct,"Mark Higley","Katherine Sims",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic/Progressive
Eden,,,302,254,0,12,0,568
Jay,,,96,145,0,5,0,246
Lowell,,,305,127,2,5,1,440
Troy,,,230,239,0,11,0,480
Westfield,,,149,150,0,5,2,306
TOTALS,,,"1,082",915,2,38,3,"2,040"
