City/Town,Ward,Pct,"Harvey Smith","Taborri Bruhl",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic
Bridport,,,402,241,1,19,0,663
"New Haven",,,581,483,0,34,1,"1,099"
Weybridge,,,213,338,0,16,0,567
TOTALS,,,"1,196","1,062",1,69,1,"2,329"
