City/Town,Ward,Pct,"Corey Parent","Kathleen C. Keenan","Mike McCarthy","Claude Bouchard",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic,Democratic,Republican
"St. Albans City",,,"1,337","1,112","1,104",754,7,768,0,"5,082"
"St. Albans Town",,,666,372,310,369,3,368,0,"2,088"
TOTALS,,,"2,003","1,484","1,414","1,123",10,"1,136",0,"7,170"
