City/Town,Ward,Pct,"Alice Miller",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic
Shaftsbury,,,"1,427",44,382,0,"1,853"
Sunderland,,,90,0,29,0,119
TOTALS,,,"1,517",44,411,0,"1,972"
