City/Town,Ward,Pct,"Anne B. Donahue","Patti J. Lewis","Jeremy Hansen","Gordon Bock",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Republican,Progressive/Democratic,Democratic
Berlin,,,690,732,496,376,0,482,0,"2,776"
Northfield,,,"1,482",959,622,682,3,752,0,"4,500"
TOTALS,,,"2,172","1,691","1,118","1,058",3,"1,234",0,"7,276"
