City/Town,Ward,Pct,"Peter Conlon",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic
Cornwall,,,664,3,78,3,748
Goshen,,,93,5,26,1,125
Hancock,,,129,2,30,1,162
Leicester,,,389,6,106,1,502
Ripton,,,285,5,47,0,337
Salisbury,,,453,7,103,0,563
TOTALS,,,"2,013",28,390,6,"2,437"
