City/Town,Ward,Pct,"Robin Chesnut-Tangerman","Jonas Rosenthal",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Progressive/Democratic,Republican
"Middletown Springs",,,276,204,0,12,0,492
Pawlet,,,391,358,0,15,1,765
Rupert,,,226,166,0,6,0,398
Tinmouth,,,126,90,1,5,0,222
Wells,,,232,335,1,13,0,581
TOTALS,,,"1,251","1,153",2,51,1,"2,458"
