City/Town,Ward,Pct,"Bill Botzow","James A. O'Connor",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Independent
Pownal,,,"1,343",260,0,50,0,"1,653"
Woodford,,,160,16,0,7,0,183
TOTALS,,,"1,503",276,0,57,0,"1,836"
