City/Town,Ward,Pct,"William ""Bill"" Canfield","Robert ""Bob"" Helm",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Republican
Castleton,,,"1,318","1,245",40,992,7,"3,602"
"Fair Haven",,,976,847,33,480,0,"2,336"
Hubbardton,,,279,270,4,223,2,778
"W. Haven",,,116,108,2,58,0,284
TOTALS,,,"2,689","2,470",79,"1,753",9,"7,000"
