City/Town,Ward,Pct,"Brian K. Savage","Marianna Gamache","Donald ""Don"" Collins","Andrew Judge",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Sheldon,,,442,389,344,186,2,2,0,"1,365"
Swanton,,,"1,534","1,184","1,152",689,12,853,0,"5,424"
TOTALS,,,"1,976","1,573","1,496",875,14,855,0,"6,789"
