City/Town,Ward,Pct,"Kimberly Jessup","Dexter Lefavour","Carl Etnier","Matt Swenson",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Progressive,Independent
"E. Montpelier",,,637,416,348,178,1,51,0,"1,631"
Middlesex,,,635,350,85,36,3,24,1,"1,134"
TOTALS,,,"1,272",766,433,214,4,75,1,"2,765"
