City/Town,Ward,Pct,"Patrick Leahy","Scott Milne","Cris Ericson","Jerry Trudell","Pete Diamondstone",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"United States Marijuana",Independent,"Liberty Union"
Addison,,,355,391,11,13,6,0,11,788
Albany,,,225,196,12,14,5,0,4,459
Alburgh,,,485,353,30,11,5,0,22,906
Andover,,,176,135,14,4,2,0,4,335
Arlington,,,732,432,44,29,13,0,2,"1,292"
Athens,,,92,48,15,5,3,0,3,167
Bakersfield,,,364,202,14,14,1,0,10,605
Baltimore,,,57,54,10,5,1,0,2,129
Barnard,,,331,200,19,4,4,0,17,576
Barnet,,,534,367,19,21,12,0,19,973
"Barre City",,,"1,784","1,279",89,58,28,2,50,"3,290"
"Barre Town",,,"1,875","2,225",70,45,22,3,48,"4,290"
Barton,,,577,441,22,25,5,0,18,"1,090"
Belvidere,,,73,80,2,3,1,0,3,162
Bennington,-,"Bennington 2-1","1,936",828,170,63,35,7,83,"3,122"
Bennington,-,"Bennington 2-2","1,815",826,168,94,42,4,100,"3,049"
Benson,,,248,224,16,8,8,2,5,512
Berkshire,,,318,272,14,7,4,0,2,618
Berlin,,,720,581,34,19,17,0,17,"1,388"
Bethel,,,603,352,25,13,12,0,16,"1,021"
Bloomfield,,,54,44,7,6,1,0,0,112
Bolton,,,411,219,30,13,3,0,7,683
Bradford,,,692,433,34,20,9,3,30,"1,221"
Braintree,,,321,241,17,6,8,0,12,605
Brandon,,,"1,056",740,47,23,9,2,25,"1,904"
Brattleboro,-,"Windham 2-1","1,518",422,64,43,61,1,59,"2,168"
Brattleboro,-,"Windham 2-2","1,387",207,79,52,99,1,58,"1,885"
Brattleboro,-,"Windham 2-3","1,442",244,75,31,83,2,73,"1,952"
Bridgewater,,,273,198,26,7,7,0,14,526
Bridport,,,308,321,15,4,5,8,2,663
Brighton,,,275,239,16,18,4,0,11,563
Bristol,,,"1,140",666,56,38,17,1,33,"1,952"
Brookfield,,,396,324,14,17,3,1,7,764
Brookline,,,176,78,14,10,10,0,8,296
Brownington,,,187,175,7,13,3,0,14,400
Brunswick,,,27,25,1,2,0,0,3,58
Burke,,,424,355,18,15,2,1,18,833
