City/Town,Ward,Pct,"Alyson Eastman",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Independent
Benson,,,429,11,70,2,512
Orwell,,,589,13,56,6,664
Shoreham,,,545,7,107,0,659
Whiting,,,159,3,37,0,199
TOTALS,,,"1,722",34,270,8,"2,034"
