City/Town,Ward,Pct,"Chip Conquest","Joseph Parsons",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican
Groton,,,235,244,0,18,1,498
Newbury,,,634,421,1,34,1,"1,091"
Topsham,,,265,295,1,22,0,583
TOTALS,,,"1,134",960,2,74,2,"2,172"
