City/Town,Ward,Pct,"Carolyn W. Partridge","Matthew A. Trieber",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Democratic
Athens,,,110,100,4,120,0,334
Brookline,,,241,173,5,171,2,592
Grafton,,,278,223,11,286,0,798
Rockingham,,,"1,513","1,523",21,"1,292",11,"4,360"
Westminster,,,62,52,4,36,0,154
Windham,,,219,163,7,182,3,574
TOTALS,,,"2,423","2,234",52,"2,087",16,"6,812"
