City/Town,Ward,Pct,"Adam Greshin","Maxine Grad","Marie Leotta","Jake Edward Sallerson",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Independent,Democratic,Republican,Independent
Duxbury,,,413,442,246,119,2,376,0,"1,598"
Fayston,,,543,485,189,148,5,284,8,"1,662"
Moretown,,,574,701,253,147,1,422,0,"2,098"
Waitsfield,,,742,654,285,202,1,384,0,"2,268"
Warren,,,695,589,216,256,0,422,0,"2,178"
TOTALS,,,"2,967","2,871","1,189",872,9,"1,888",8,"9,804"
