City/Town,Ward,Pct,"Charles ""Butch"" Shaw","Stephen A. Carr",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic
Brandon,,,"1,276","1,217",24,"1,288",3,"3,808"
Pittsford,,,"1,192",731,21,"1,194",2,"3,140"
Sudbury,,,196,198,1,257,0,652
TOTALS,,,"2,664","2,146",46,"2,739",5,"7,600"
