City/Town,Ward,Pct,"Dennis J. Devereux","Logan Nicoll",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic
Ludlow,,,527,543,1,38,0,"1,109"
"Mount Holly",,,504,243,1,29,0,777
Shrewsbury,,,380,263,0,27,2,672
TOTALS,,,"1,411","1,049",2,94,2,"2,558"
