City/Town,Ward,Pct,"T.J. Donovan","Deborah ""Deb"" Bucknam","Rosemarie Jackowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Liberty Union"
Mendon,,,315,263,21,1,54,654
Middlebury,,,"2,690",659,117,1,254,"3,723"
Middlesex,,,805,203,40,3,80,"1,134"
"Middletown Springs",,,265,176,20,0,31,492
Milton,-,"Chittenden 10","2,806","1,302",105,3,217,"4,434"
Milton,-,"Grand Isle-Chittenden",431,249,21,1,34,736
Monkton,,,794,337,38,0,59,"1,228"
Montgomery,,,399,192,29,0,46,671
Montpelier,,,"3,798",561,177,5,292,"4,834"
Moretown,,,728,204,32,0,85,"1,049"
Morgan,,,148,167,11,0,15,342
Morristown,,,"1,798",709,82,1,177,"2,767"
"Mount Holly",,,383,290,44,0,60,777
"Mount Tabor",,,50,34,5,0,6,95
"New Haven",,,704,312,19,0,63,"1,099"
Newark,,,140,143,10,0,14,307
Newbury,,,602,379,38,0,72,"1,091"
Newfane,,,645,232,50,3,85,"1,016"
"Newport City",,,892,550,52,2,70,"1,566"
"Newport Town",,,361,280,22,0,47,711
"N. Hero",,,417,180,16,0,21,634
Northfield,,,"1,426",626,59,0,139,"2,250"
Norton,,,40,38,3,0,5,86
Norwich,,,"1,782",297,46,2,206,"2,333"
Orange,,,278,222,22,0,27,549
Orwell,,,346,267,17,0,34,664
Panton,,,216,118,6,0,8,348
Pawlet,,,389,292,35,0,47,765
Peacham,,,278,176,13,1,14,482
Peru,,,137,71,10,0,21,239
Pittsfield,,,170,92,14,0,19,295
Pittsford,,,800,599,54,1,116,"1,570"
Plainfield,,,485,133,29,0,38,685
Plymouth,,,176,129,15,0,34,354
Pomfret,,,403,156,18,0,21,598
Poultney,,,754,540,64,1,100,"1,460"
Pownal,,,715,541,249,0,145,"1,653"
Proctor,,,484,293,30,0,54,861
Putney,,,920,205,82,2,119,"1,329"
Randolph,,,"1,328",717,115,1,135,"2,297"
Reading,,,206,122,15,0,35,382
Readsboro,,,164,141,45,1,36,387
Richford,,,491,296,29,0,30,846
Richmond,,,"1,855",501,61,2,145,"2,564"
Ripton,,,251,49,7,1,29,337
Rochester,,,431,151,36,0,37,655
Rockingham,,,"1,324",556,143,1,155,"2,180"
Roxbury,,,242,108,18,0,17,385
Royalton,,,778,395,71,0,104,"1,348"
Rupert,,,192,156,28,0,20,398
"Rutland City",-,"Rutland 5-1","1,336",724,48,1,170,"2,279"
"Rutland City",-,"Rutland 5-2","1,089",579,72,2,119,"1,861"
"Rutland City",-,"Rutland 5-3",745,452,58,5,97,"1,357"
"Rutland City",-,"Rutland 5-4",990,514,61,2,117,"1,684"
"Rutland Town",,,"1,239",882,59,3,137,"2,320"
Ryegate,,,293,241,8,0,29,571
Salisbury,,,348,168,18,0,29,563
Sandgate,,,101,94,19,0,5,219
Searsburg,,,15,27,12,0,5,59
Shaftsbury,,,853,658,212,0,130,"1,853"
Sharon,,,485,203,25,3,50,766
Sheffield,,,155,122,13,1,17,308
Shelburne,-,"Chittenden 5-1","2,008",466,41,0,167,"2,682"
Shelburne,-,"Chittenden 5-2","1,594",456,39,1,116,"2,207"
Sheldon,,,510,264,20,0,32,826
Shoreham,,,401,184,15,2,57,659
Shrewsbury,,,375,243,19,1,32,672
"S. Burlington",-,"Chittenden 7-1","2,056",388,51,0,137,"2,632"
"S. Burlington",-,"Chittenden 7-2","2,242",580,31,2,179,"3,037"
"S. Burlington",-,"Chittenden 7-3","1,941",374,64,1,169,"2,550"
"S. Burlington",-,"Chittenden 7-4","1,718",462,53,0,129,"2,363"
"S. Hero",,,810,265,18,0,55,"1,148"
Springfield,-,"Windsor 3-1",87,53,8,0,6,154
Springfield,-,"Windsor 3-2","1,965","1,430",194,3,249,"3,844"
"St. Albans City",,,"1,693",677,73,1,97,"2,541"
"St. Albans Town",-,"Franklin 3-1",656,322,19,2,45,"1,044"
"St. Albans Town",-,"Franklin 3-2","1,321",660,56,4,88,"2,129"
"St. George",,,250,79,9,2,23,363
"St. Johnsbury",,,"1,511","1,323",95,1,118,"3,052"
Stamford,,,175,207,44,0,54,481
Stannard,,,66,25,4,0,7,103
Starksboro,,,622,247,28,0,46,943
Stockbridge,,,250,131,16,0,34,431
Stowe,,,"1,861",723,72,2,234,"2,893"
Strafford,,,523,120,20,6,36,705
Stratton,,,53,59,8,0,9,129
Sudbury,,,203,98,10,0,15,326
Sunderland,-,"Bennington 3",59,41,6,0,13,119
Sunderland,-,"Bennington 4",193,145,32,1,37,408
Sutton,,,194,225,10,1,35,465
Swanton,,,"1,655",913,60,1,83,"2,712"
Thetford,,,"1,144",334,65,2,108,"1,653"
Tinmouth,-,"Rutland 2",43,29,3,0,3,78
Tinmouth,-,Rutland-Bennington,118,86,10,1,7,222
Topsham,,,285,235,19,1,43,583
Townshend,,,402,186,40,0,66,694
Troy,-,"Orleans 2",96,66,6,0,0,173
Troy,-,Orleans-Lamoille,265,174,17,0,24,480
Tunbridge,,,436,209,31,0,42,718
Underhill,,,"1,363",489,35,1,104,"1,992"
Vergennes,,,870,300,35,0,45,"1,250"
Vernon,,,463,512,56,2,108,"1,141"
Vershire,,,219,105,17,0,25,367
Victory,,,32,31,2,0,3,68
Waitsfield,,,772,228,40,0,94,"1,134"
Walden,,,268,219,13,0,27,527
Wallingford,,,575,431,44,0,81,"1,131"
Waltham,,,165,99,5,0,15,284
Wardsboro,,,209,135,30,0,29,403
Warren,,,739,220,47,0,83,"1,089"
Washington,,,316,188,19,0,34,557
Waterbury,,,"2,203",606,63,1,214,"3,088"
Waterford,,,336,362,14,1,30,743
Waterville,,,223,123,10,0,25,381
Weathersfield,,,801,616,77,1,104,"1,599"
Wells,,,239,276,36,0,30,581
"W. Fairlee",,,184,79,24,0,18,305
"W. Haven",,,74,49,4,0,15,142
"W. Rutland",,,520,424,56,1,50,"1,051"
"W. Windsor",,,438,211,21,0,51,722
Westfield,,,166,111,13,0,16,306
Westford,,,832,344,30,0,75,"1,281"
Westminster,-,"Windham 3",47,26,3,0,1,77
Westminster,-,"Windham 4",951,349,86,0,102,"1,489"
Westmore,,,102,104,6,0,9,221
Weston,,,250,123,17,0,27,417
Weybridge,,,423,103,10,1,30,567
Wheelock,,,183,174,14,1,30,404
Whiting,,,130,49,7,0,13,199
Whitingham,-,"Windham 6",249,264,50,0,59,622
Whitingham,-,Windham-Bennington,20,11,0,0,0,31
Williamstown,,,924,524,41,1,82,"1,573"
Williston,,,"3,923","1,355",96,2,328,"5,709"
Wilmington,,,528,338,84,0,112,"1,063"
Windham,,,147,97,16,0,27,287
Windsor,,,"1,055",464,75,0,124,"1,719"
Winhall,,,264,194,24,0,48,531
Winooski,,,"2,309",446,122,1,231,"3,113"
Wolcott,,,499,240,25,0,46,810
Woodbury,,,358,136,18,0,25,537
Woodford,,,88,50,22,0,23,183
Woodstock,,,"1,225",483,46,3,155,"1,912"
Worcester,,,433,120,26,1,20,600
TOTALS,,,"200,020","88,431","11,844",203,"19,842","320,467"
