City/Town,Ward,Pct,"Kitty Beattie Toll","Craig R. Vance",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican
Cabot,,,518,259,1,21,0,799
Danville,,,722,597,5,19,5,"1,348"
Peacham,,,311,163,1,7,0,482
TOTALS,,,"1,551","1,019",7,47,5,"2,629"
