City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic
Bradford,,,954,77,190,0,"1,221"
Fairlee,,,476,11,80,6,573
"W. Fairlee",,,246,4,52,3,305
TOTALS,,,"1,676",92,322,9,"2,099"
