City/Town,Ward,Pct,"Oliver K. Olsen",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Independent
Jamaica,,,446,8,61,1,516
Londonderry,,,842,17,91,3,953
Stratton,,,117,1,11,0,129
Weston,,,375,2,40,0,417
Winhall,,,464,2,64,1,531
TOTALS,,,"2,244",30,267,5,"2,546"
