City/Town,Ward,Pct,"Martha ""Marty"" Feltus","Richard Lawrence","Patrick Seymour",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Republican,Democratic
Burke,,,449,416,385,1,415,0,"1,666"
Lyndon,,,"1,269","1,256",792,20,833,0,"4,170"
Sutton,,,175,214,313,2,225,1,930
TOTALS,,,"1,893","1,886","1,490",23,"1,473",1,"6,766"
