City/Town,Ward,Pct,"Clement ""Clem"" Bissonnette","Diana Gonzalez","Robert Millar",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Progressive/Democratic,Progressive
Burlington,,,47,69,54,3,75,2,250
Winooski,,,"1,677","1,495","1,034",16,"1,994",10,"6,226"
TOTALS,,,"1,724","1,564","1,088",19,"2,069",12,"6,476"
