City/Town,Ward,Pct,"Thomas A. Bock",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic/Republican
Andover,,,285,4,46,0,335
Baltimore,,,111,3,15,0,129
Chester,,,"1,333",26,206,0,"1,565"
Springfield,,,131,1,22,0,154
TOTALS,,,"1,860",34,289,0,"2,183"
