City/Town,Ward,Pct,"Dave Potter","Thomas ""Tom"" Burditt","Ronald ""Bushey"" Boucher","Michael Stimpfel","Ted Schaft",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Republican,Democratic,Libertarian
Clarendon,,,649,577,574,337,39,4,338,6,"2,524"
Proctor,,,428,404,274,190,140,1,283,2,"1,722"
Tinmouth,,,47,25,32,25,2,1,24,0,156
Wallingford,,,555,411,567,290,33,1,405,0,"2,262"
"W. Rutland",,,448,641,364,234,77,2,331,5,"2,102"
TOTALS,,,"2,127","2,058","1,811","1,076",291,9,"1,381",13,"8,766"
