City/Town,Ward,Pct,"Sarah E. Buxton","David M. Ainsworth",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican
Royalton,,,625,675,5,43,0,"1,348"
Tunbridge,,,378,325,4,8,3,718
TOTALS,,,"1,003","1,000",9,51,3,"2,066"
