City/Town,Ward,Pct,"Mary E. Howard","John E. Mattison, Jr",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican
"Rutland City",,,747,534,4,72,0,"1,357"
TOTALS,,,747,534,4,72,0,"1,357"
