City/Town,Ward,Pct,"Hillary Clinton/ Tim Kaine","Donald Trump/ Michael R.","Bernie Sanders","Gary Johnson/ William","Jill Stein/ Ajuma Baraka","Rocky De La Fuente/ Michael","Gloria Lariva/ Eugene Puryear",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,,Libertarian,Green,Independent,"Liberty Union"
Addison,,,324,337,45,47,8,1,1,12,13,0,788
Albany,,,207,183,31,13,9,3,3,1,7,2,459
Alburgh,,,372,399,71,29,8,5,0,4,18,0,906
Andover,,,166,125,17,8,4,1,1,8,4,1,335
Arlington,,,662,435,94,28,22,4,3,20,2,22,"1,292"
Athens,,,69,61,0,6,8,1,0,21,1,0,167
Bakersfield,,,295,209,48,22,10,4,1,8,7,1,605
Baltimore,,,50,60,2,9,2,2,0,1,1,2,129
Barnard,,,339,174,25,13,11,2,0,5,6,1,576
Barnet,,,485,355,37,46,21,5,0,11,13,0,973
"Barre City",,,"1,653","1,091",232,109,66,21,2,42,74,0,"3,290"
"Barre Town",,,"1,760","1,862",258,139,55,22,6,66,121,1,"4,290"
Barton,,,502,425,80,32,5,4,1,20,18,3,"1,090"
Belvidere,,,53,85,0,7,1,0,0,12,3,1,162
Bennington,-,"Bennington 2-1","1,764",970,132,72,63,13,3,29,76,0,"3,122"
Bennington,-,"Bennington 2-2","1,597",979,198,83,84,9,5,24,70,0,"3,049"
Benson,,,216,232,19,23,10,3,2,3,3,1,512
Berkshire,,,209,308,50,26,5,8,1,2,8,1,618
Berlin,,,658,454,128,51,31,7,1,26,27,5,"1,388"
Bethel,,,543,299,73,33,36,2,0,11,17,7,"1,021"
Bloomfield,,,30,52,0,8,6,1,1,12,1,1,112
Bolton,,,389,205,48,14,8,2,1,7,6,3,683
Bradford,,,624,409,67,42,23,2,2,27,24,1,"1,221"
Braintree,,,289,217,49,21,9,1,0,7,9,3,605
Brandon,,,924,723,100,49,33,8,2,32,22,11,"1,904"
Brattleboro,-,"Windham 2-1","1,489",426,127,31,51,5,1,13,24,1,"2,168"
Brattleboro,-,"Windham 2-2","1,367",216,122,32,110,3,4,13,17,1,"1,885"
Brattleboro,-,"Windham 2-3","1,491",217,95,32,75,1,1,15,25,0,"1,952"
Bridgewater,,,280,160,32,11,13,16,2,8,3,1,526
Bridport,,,292,278,0,24,8,3,1,49,8,0,663
Brighton,,,229,276,24,17,8,1,0,5,1,2,563
Bristol,,,"1,075",558,168,60,41,9,1,14,24,2,"1,952"
Brookfield,,,378,231,59,34,26,10,0,11,6,9,764
Brookline,,,169,68,23,12,6,5,1,3,5,4,296
Brownington,,,146,193,39,8,2,1,0,2,6,3,400
Brunswick,,,21,28,4,2,0,1,0,0,2,0,58
Burke,,,381,336,50,34,13,1,1,7,7,3,833
Burlington,-,"Chittenden 6-1","3,023",855,295,94,81,9,4,73,67,0,"4,501"
Burlington,-,"Chittenden 6-2","1,697",278,133,52,90,5,1,33,26,1,"2,316"
Burlington,-,"Chittenden 6-3","2,818",258,229,71,225,7,4,25,24,1,"3,662"
Burlington,-,"Chittenden 6-4","2,028",150,69,44,96,5,2,18,18,1,"2,431"
Burlington,-,"Chittenden 6-5","3,922",460,204,113,164,2,5,51,49,0,"4,970"
Burlington,-,"Chittenden 6-6",933,74,25,34,29,1,1,22,6,0,"1,125"
Burlington,-,"Chittenden 6-7",98,7,9,4,4,0,1,2,0,0,125
Cabot,,,394,252,64,37,32,4,0,10,6,0,799
Calais,,,688,195,58,21,42,3,1,12,13,0,"1,033"
Cambridge,,,"1,067",520,165,89,41,6,3,37,23,2,"1,953"
Canaan,,,179,207,0,12,2,3,0,27,4,2,436
Castleton,,,795,808,94,39,22,6,3,24,8,2,"1,801"
Cavendish,,,306,262,62,20,19,5,0,12,17,0,703
Charleston,,,184,210,28,17,13,2,7,3,5,2,471
Charlotte,,,"1,794",512,87,79,54,6,2,30,33,26,"2,623"
Chelsea,,,304,273,34,22,12,4,0,11,9,3,672
Chester,,,827,512,94,47,34,3,1,28,19,0,"1,565"
Chittenden,,,352,312,35,21,11,2,0,18,16,0,767
Clarendon,,,470,641,76,35,11,2,0,7,19,1,"1,262"
Colchester,-,"Chittenden 9-1","1,929",988,170,107,56,9,8,27,33,62,"3,389"
Colchester,-,"Chittenden 9-2","2,554","1,437",228,138,64,13,1,34,70,52,"4,591"
Concord,,,181,292,45,30,3,2,1,10,11,2,577
Corinth,,,308,264,56,19,14,3,1,12,11,0,688
Cornwall,,,517,147,21,22,14,3,1,12,9,2,748
Coventry,,,196,244,41,16,5,2,1,5,7,0,517
Craftsbury,,,435,153,37,26,25,3,0,8,10,1,698
Danby,,,252,291,32,39,15,4,5,3,16,1,658
Danville,,,645,494,79,50,22,4,1,14,31,8,"1,348"
Derby,,,885,"1,004",122,82,36,3,0,50,43,1,"2,226"
Dorset,,,740,334,41,36,18,4,0,16,20,0,"1,209"
Dover,,,409,279,42,24,14,3,3,9,6,5,794
Dummerston,,,797,213,60,31,27,2,4,20,8,2,"1,164"
Duxbury,,,434,196,82,38,18,6,2,9,13,1,799
"E. Haven",,,51,70,11,2,6,2,1,3,1,2,149
"E. Montpelier",,,"1,032",356,100,41,62,2,1,16,21,0,"1,631"
Eden,,,221,241,59,17,18,2,1,2,5,2,568
Elmore,,,339,132,29,19,16,0,0,6,8,3,552
Enosburgh,,,502,429,166,57,22,8,6,5,26,0,"1,221"
Essex,-,"Chittenden 8-1","2,847","1,274",277,168,54,16,6,98,65,2,"4,807"
Essex,-,"Chittenden 8-2","3,057","1,331",268,208,84,14,3,95,61,2,"5,123"
Essex,-,"Chittenden 8-3",849,425,50,42,17,1,0,25,18,0,"1,427"
"Fair Haven",,,478,529,79,23,17,5,1,17,19,0,"1,168"
Fairfax,,,"1,063",947,166,113,42,6,0,28,53,13,"2,431"
Fairfield,,,489,338,45,41,12,0,1,18,16,1,961
Fairlee,,,350,149,26,17,11,5,0,8,6,1,573
Fayston,,,586,142,42,21,23,1,0,8,8,0,831
Ferrisburgh,,,892,501,94,61,21,3,2,33,24,4,"1,635"
Fletcher,,,336,240,61,31,23,3,1,6,4,4,709
