City/Town,Ward,Pct,"Laura Sibilia","John Moran",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Independent,Democratic
Dover,,,521,241,0,32,0,794
Readsboro,,,201,168,1,17,0,387
Searsburg,,,31,25,0,2,1,59
Stamford,,,221,216,0,43,1,481
Wardsboro,,,166,228,0,9,0,403
Whitingham,,,12,19,0,0,0,31
TOTALS,,,"1,152",897,1,103,2,"2,155"
