City/Town,Ward,Pct,"Eileen ""Lynn"" Dickinson","David Abell McWilliams",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic
"St. Albans Town",,,"1,261",772,10,82,4,"2,129"
TOTALS,,,"1,261",772,10,82,4,"2,129"
