City/Town,Ward,Pct,"Janet Ancel","Bram Towbin",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,"For Your Town"
Calais,,,734,225,4,70,0,"1,033"
Marshfield,,,405,391,4,75,4,879
Plainfield,,,269,383,2,31,0,685
TOTALS,,,"1,408",999,10,176,4,"2,597"
