City/Town,Ward,Pct,"John Gannon",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic
Halifax,,,318,6,111,2,437
Whitingham,,,469,16,135,2,622
Wilmington,,,851,17,195,0,"1,063"
TOTALS,,,"1,638",39,441,4,"2,122"
