City/Town,Ward,Pct,"Theresa Persons Wood","Tom Stevens",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Democratic
Bolton,,,462,468,6,427,3,"1,366"
Huntington,,,910,919,9,655,11,"2,504"
Waterbury,,,"2,316","2,096",52,"1,712",0,"6,176"
TOTALS,,,"3,688","3,483",67,"2,794",14,"10,046"
