City/Town,Ward,Pct,"Linda Joy Sullivan","John ""Jack"" Stannard",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican
Danby,,,287,342,0,29,0,658
Dorset,,,681,448,5,75,0,"1,209"
Landgrove,,,49,49,0,7,0,105
"Mount Tabor",,,47,44,0,4,0,95
Peru,,,141,82,0,16,0,239
TOTALS,,,"1,205",965,5,131,0,"2,306"
