City/Town,Ward,Pct,"Mike Mrowicki","David L. Deen","Eddie Cutler","Bonnie Depino",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Dummerston,,,793,775,232,209,1,316,2,"2,328"
Putney,,,"1,081",937,157,139,2,342,0,"2,658"
Westminster,,,880,997,349,309,5,437,1,"2,978"
TOTALS,,,"2,754","2,709",738,657,8,"1,095",3,"7,964"
