City/Town,Ward,Pct,"Cindy Weed","Larry G. Fiske",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Progressive/Democratic,Republican
Enosburgh,,,537,671,0,13,0,"1,221"
Montgomery,,,398,249,1,18,5,671
TOTALS,,,935,920,1,31,5,"1,892"
