City/Town,Ward,Pct,"Susan M. Buckholz",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic/Progressive
Barnard,,,426,8,139,3,576
Hartford,,,981,14,258,1,"1,254"
Pomfret,,,486,9,101,2,598
TOTALS,,,"1,893",31,498,6,"2,428"
