City/Town,Ward,Pct,"David Zuckerman","Randy Brock","Boots Wardinski",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive/Democratic,Republican,"Liberty Union"
Randolph,,,"1,101","1,044",57,6,89,"2,297"
Reading,,,190,153,11,0,24,382
Readsboro,,,167,173,20,0,27,387
Richford,,,287,513,20,0,26,846
Richmond,,,"1,463",964,35,4,97,"2,564"
Ripton,,,227,86,4,1,19,337
Rochester,,,386,237,10,0,22,655
Rockingham,,,"1,273",691,82,3,130,"2,180"
Roxbury,,,193,171,8,0,13,385
Royalton,,,685,549,44,3,66,"1,348"
Rupert,,,189,180,11,0,18,398
"Rutland City",-,"Rutland 5-1",948,"1,188",27,2,113,"2,279"
"Rutland City",-,"Rutland 5-2",827,899,47,5,83,"1,861"
"Rutland City",-,"Rutland 5-3",581,669,39,5,62,"1,357"
"Rutland City",-,"Rutland 5-4",746,816,38,4,80,"1,684"
"Rutland Town",,,811,"1,375",40,4,90,"2,320"
Ryegate,,,216,295,34,1,23,571
Salisbury,,,261,275,10,0,17,563
Sandgate,,,98,111,4,0,6,219
Searsburg,,,20,31,4,0,4,59
Shaftsbury,,,909,794,49,0,100,"1,853"
Sharon,,,443,285,16,1,20,766
Sheffield,,,121,171,6,1,9,308
Shelburne,-,"Chittenden 5-1","1,547",945,42,10,138,"2,682"
Shelburne,-,"Chittenden 5-2","1,117",970,18,6,95,"2,207"
Sheldon,,,211,583,7,0,25,826
Shoreham,,,311,311,10,1,26,659
Shrewsbury,,,269,334,47,3,17,672
"S. Burlington",-,"Chittenden 7-1","1,546",919,39,4,122,"2,632"
"S. Burlington",-,"Chittenden 7-2","1,570","1,282",30,9,141,"3,037"
"S. Burlington",-,"Chittenden 7-3","1,608",748,50,4,138,"2,550"
"S. Burlington",-,"Chittenden 7-4","1,287",920,35,7,105,"2,363"
"S. Hero",,,543,555,9,1,40,"1,148"
Springfield,-,"Windsor 3-1",62,83,5,0,4,154
Springfield,-,"Windsor 3-2","1,865","1,700",110,3,166,"3,844"
"St. Albans City",,,"1,032","1,401",39,3,66,"2,541"
"St. Albans Town",-,"Franklin 3-1",295,704,12,1,32,"1,044"
"St. Albans Town",-,"Franklin 3-2",629,"1,425",29,6,40,"2,129"
"St. George",,,176,161,7,0,18,363
"St. Johnsbury",,,"1,312","1,537",97,4,102,"3,052"
Stamford,,,183,218,31,0,48,481
Stannard,,,69,33,0,0,1,103
Starksboro,,,522,374,19,1,27,943
Stockbridge,,,211,190,16,0,14,431
Stowe,,,"1,542","1,191",47,4,108,"2,893"
Strafford,,,492,177,10,0,25,705
Stratton,,,49,70,3,0,7,129
Sudbury,,,153,163,2,0,8,326
Sunderland,-,"Bennington 3",55,50,3,1,10,119
Sunderland,-,"Bennington 4",191,179,11,0,27,408
Sutton,,,167,261,9,0,28,465
Swanton,,,701,"1,917",33,9,52,"2,712"
Thetford,,,"1,064",455,43,3,88,"1,653"
Tinmouth,-,"Rutland 2",36,38,3,0,1,78
Tinmouth,-,Rutland-Bennington,111,103,4,1,3,222
Topsham,,,210,314,43,0,16,583
Townshend,,,357,235,46,3,53,694
Troy,-,"Orleans 2",74,93,3,0,3,173
Troy,-,Orleans-Lamoille,210,249,8,0,13,480
Tunbridge,,,346,331,18,1,22,718
Underhill,,,"1,095",803,23,0,71,"1,992"
Vergennes,,,649,543,19,3,36,"1,250"
Vernon,,,394,623,33,3,88,"1,141"
Vershire,,,194,133,23,1,15,367
Victory,,,15,46,2,0,5,68
Waitsfield,,,667,391,18,2,55,"1,134"
Walden,,,275,230,13,0,9,527
Wallingford,,,474,588,22,1,46,"1,131"
Waltham,,,129,143,5,0,7,284
Wardsboro,,,198,157,15,0,32,403
Warren,,,674,347,18,0,49,"1,089"
Washington,,,194,329,10,0,24,557
Waterbury,,,"1,680","1,221",48,10,121,"3,088"
Waterford,,,242,465,18,1,17,743
Waterville,,,157,205,6,0,13,381
Weathersfield,,,712,783,36,0,68,"1,599"
Wells,,,212,325,21,1,22,581
"W. Fairlee",,,156,118,13,1,17,305
"W. Haven",,,56,83,0,0,3,142
"W. Rutland",,,358,633,30,1,29,"1,051"
"W. Windsor",,,376,296,10,0,39,722
Westfield,,,135,154,4,0,13,306
