City/Town,Ward,Pct,"Charlie Kimbell","Kt Cappellini",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican
Plymouth,,,146,179,1,28,0,354
Reading,,,227,128,1,22,4,382
Woodstock,,,"1,434",387,4,87,0,"1,912"
TOTALS,,,"1,807",694,6,137,4,"2,648"
