City/Town,Ward,Pct,"Michael ""Mike"" Hebert",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic/Republican
Guilford,,,928,32,217,0,"1,177"
Vernon,,,991,16,134,0,"1,141"
TOTALS,,,"1,919",48,351,0,"2,318"
