City/Town,Ward,Pct,"Peter Welch","Erica Clawson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,"Liberty Union"
Addison,,,631,88,8,59,788
Albany,,,364,58,1,36,459
Alburgh,,,725,114,3,64,906
Andover,,,264,37,4,28,335
Arlington,,,"1,028",142,5,112,"1,292"
Athens,,,126,30,0,11,167
Bakersfield,,,494,78,3,30,605
Baltimore,,,110,10,0,9,129
Barnard,,,470,48,4,53,576
Barnet,,,806,88,12,67,973
"Barre City",,,"2,701",351,21,217,"3,290"
"Barre Town",,,"3,511",422,33,310,"4,290"
Barton,,,847,138,5,100,"1,090"
Belvidere,,,135,15,1,11,162
Bennington,-,"Bennington 2-1","2,496",306,15,305,"3,122"
Bennington,-,"Bennington 2-2","2,450",319,8,272,"3,049"
Benson,,,406,68,4,33,512
Berkshire,,,514,75,1,28,618
Berlin,,,"1,135",137,11,104,"1,388"
Bethel,,,845,103,11,61,"1,021"
Bloomfield,,,83,18,0,11,112
Bolton,,,578,70,0,34,683
Bradford,,,990,131,9,91,"1,221"
Braintree,,,499,58,3,45,605
Brandon,,,"1,564",199,8,126,"1,904"
Brattleboro,-,"Windham 2-1","1,832",158,5,173,"2,168"
Brattleboro,-,"Windham 2-2","1,574",180,1,129,"1,885"
Brattleboro,-,"Windham 2-3","1,613",166,4,169,"1,952"
Bridgewater,,,416,69,0,41,526
Bridport,,,539,69,4,50,663
Brighton,,,421,95,5,42,563
Bristol,,,"1,608",207,6,129,"1,952"
Brookfield,,,616,89,4,53,764
Brookline,,,237,23,0,36,296
Brownington,,,306,53,4,37,400
Brunswick,,,49,5,0,4,58
Burke,,,686,81,2,62,833
Burlington,-,"Chittenden 6-1","3,856",308,24,312,"4,501"
Burlington,-,"Chittenden 6-2","1,951",170,20,175,"2,316"
Burlington,-,"Chittenden 6-3","2,968",340,21,333,"3,662"
Burlington,-,"Chittenden 6-4","2,001",181,8,239,"2,431"
Burlington,-,"Chittenden 6-5","4,309",296,16,348,"4,970"
Burlington,-,"Chittenden 6-6",914,89,4,118,"1,125"
Burlington,-,"Chittenden 6-7",104,13,1,7,125
Cabot,,,643,65,9,82,799
Calais,,,865,97,7,64,"1,033"
Cambridge,,,"1,661",169,22,100,"1,953"
Canaan,,,335,59,2,39,436
Castleton,,,"1,450",203,9,136,"1,801"
Cavendish,,,523,103,4,73,703
Charleston,,,324,103,3,39,471
Charlotte,,,"2,235",152,16,216,"2,623"
Chelsea,,,525,75,6,64,672
Chester,,,"1,257",185,5,117,"1,565"
Chittenden,,,619,63,2,82,767
Clarendon,,,997,149,13,100,"1,262"
Colchester,-,"Chittenden 9-1","2,841",268,14,255,"3,389"
Colchester,-,"Chittenden 9-2","3,778",371,15,409,"4,591"
