City/Town,Ward,Pct,"Paul D. Lefebvre",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican
Bloomfield,,,81,2,29,0,112
Brighton,,,496,10,54,3,563
Canaan,,,326,5,103,2,436
"E. Haven",,,125,2,22,0,149
Lemington,,,48,1,8,0,57
Newark,,,265,3,38,1,307
Norton,,,70,0,16,0,86
Westmore,,,179,9,33,0,221
TOTALS,,,"1,590",32,303,6,"1,931"
