City/Town,Ward,Pct,"Jessica Comai Brumsted","Bruce Elmore",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Independent
Shelburne,,,"1,225",717,2,262,1,"2,207"
"St. George",,,192,118,0,53,0,363
TOTALS,,,"1,417",835,2,315,1,"2,570"
