City/Town,Ward,Pct,"John Bartholomew","Paul S. Belaski","Rick Hansen","Clayton Paronto",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Independent
Hartland,,,"1,264",800,546,392,5,895,0,"3,902"
"W. Windsor",,,384,376,247,166,4,263,4,"1,444"
Windsor,,,746,948,419,617,1,701,6,"3,438"
TOTALS,,,"2,394","2,124","1,212","1,175",10,"1,859",10,"8,784"
