City/Town,Ward,Pct,"Bernard C. Juskiewicz",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic/Republican
Cambridge,,,"1,742",38,173,0,"1,953"
Waterville,,,316,9,56,0,381
TOTALS,,,"2,058",47,229,0,"2,334"
