City/Town,Ward,Pct,"Brian Keefe","Cynthia Browning","Steve Berry",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican,Democratic,Democratic
Arlington,,,609,776,562,5,631,1,"2,584"
Manchester,,,"1,374",972,"1,193",11,"1,339",3,"4,892"
Sandgate,,,108,139,79,1,111,0,438
Sunderland,,,206,208,164,0,238,0,816
TOTALS,,,"2,297","2,095","1,998",17,"2,319",4,"8,730"
