City/Town,Ward,Pct,"Dan Connor","Penny Dubie",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican
Bakersfield,,,286,292,1,26,0,605
Fairfield,,,470,473,0,18,0,961
Fletcher,,,362,316,3,27,1,709
TOTALS,,,"1,118","1,081",4,71,1,"2,275"
