City/Town,Ward,Pct,"Patricia A. McCoy",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican
Ira,,,198,0,45,2,245
Poultney,,,"1,227",21,196,16,"1,460"
TOTALS,,,"1,425",21,241,18,"1,705"
