City/Town,Ward,Pct,"Doug Hoffer","Dan Feliciano","Marina Brown",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Progressive,Republican,"Liberty Union"
Middlebury,,,"2,317",885,130,1,389,"3,723"
Middlesex,,,702,275,50,2,104,"1,134"
"Middletown Springs",,,217,207,22,0,46,492
Milton,-,"Chittenden 10","1,744","2,034",160,4,492,"4,434"
Milton,-,"Grand Isle-Chittenden",281,358,19,2,76,736
Monkton,,,615,461,49,1,102,"1,228"
Montgomery,,,334,217,42,0,73,671
Montpelier,,,"3,406",794,173,10,450,"4,834"
Moretown,,,573,287,49,0,140,"1,049"
Morgan,,,107,185,21,0,28,342
Morristown,,,"1,381",947,129,2,307,"2,767"
"Mount Holly",,,314,332,46,0,84,777
"Mount Tabor",,,40,41,5,0,9,95
"New Haven",,,520,430,46,0,103,"1,099"
Newark,,,127,113,26,0,41,307
Newbury,,,498,426,56,0,111,"1,091"
Newfane,,,591,241,62,0,121,"1,016"
"Newport City",,,709,603,146,0,105,"1,566"
"Newport Town",,,271,305,60,2,72,711
"N. Hero",,,281,305,11,1,36,634
Northfield,,,"1,090",835,97,0,227,"2,250"
Norton,,,27,43,9,0,7,86
Norwich,,,"1,624",362,62,3,282,"2,333"
Orange,,,187,289,30,0,43,549
Orwell,,,245,335,36,0,48,664
Panton,,,166,158,6,0,17,348
Pawlet,,,338,317,40,0,70,765
Peacham,,,268,163,17,0,34,482
Peru,,,123,79,10,0,27,239
Pittsfield,,,139,117,12,0,27,295
Pittsford,,,600,707,85,3,175,"1,570"
Plainfield,,,429,172,28,0,56,685
Plymouth,,,167,140,13,0,34,354
Pomfret,,,349,186,27,0,36,598
Poultney,,,593,640,85,2,139,"1,460"
Pownal,,,713,593,146,1,197,"1,653"
Proctor,,,364,380,35,0,82,861
Putney,,,882,222,83,1,140,"1,329"
Randolph,,,"1,117",837,138,1,203,"2,297"
Reading,,,169,140,29,0,40,382
Readsboro,,,161,152,26,0,48,387
Richford,,,383,357,51,0,54,846
Richmond,,,"1,442",776,71,3,272,"2,564"
Ripton,,,216,74,5,1,41,337
Rochester,,,360,187,39,0,68,655
Rockingham,,,"1,203",596,166,0,213,"2,180"
Roxbury,,,196,132,18,0,39,385
Royalton,,,631,457,95,2,163,"1,348"
Rupert,,,185,156,23,0,33,398
"Rutland City",-,"Rutland 5-1",934,938,88,4,312,"2,279"
"Rutland City",-,"Rutland 5-2",807,744,99,7,204,"1,861"
"Rutland City",-,"Rutland 5-3",549,557,103,5,143,"1,357"
"Rutland City",-,"Rutland 5-4",761,647,88,2,186,"1,684"
"Rutland Town",,,917,"1,123",68,3,208,"2,320"
Ryegate,,,244,258,20,0,49,571
Salisbury,,,259,224,30,0,50,563
Sandgate,,,96,95,11,0,17,219
Searsburg,,,19,29,4,0,7,59
Shaftsbury,,,835,708,114,1,195,"1,853"
Sharon,,,398,244,51,1,72,766
Sheffield,,,119,121,32,1,35,308
Shelburne,-,"Chittenden 5-1","1,596",740,49,0,297,"2,682"
Shelburne,-,"Chittenden 5-2","1,166",776,45,1,218,"2,207"
Sheldon,,,336,393,43,1,53,826
Shoreham,,,316,243,26,1,73,659
Shrewsbury,,,318,279,25,2,46,672
"S. Burlington",-,"Chittenden 7-1","1,583",704,64,1,279,"2,632"
"S. Burlington",-,"Chittenden 7-2","1,631",993,60,3,346,"3,037"
"S. Burlington",-,"Chittenden 7-3","1,550",614,88,1,295,"2,550"
"S. Burlington",-,"Chittenden 7-4","1,317",719,89,0,234,"2,363"
"S. Hero",,,584,414,30,0,118,"1,148"
Springfield,-,"Windsor 3-1",66,67,11,0,10,154
Springfield,-,"Windsor 3-2","1,720","1,524",277,3,318,"3,844"
"St. Albans City",,,"1,270",971,114,6,180,"2,541"
"St. Albans Town",-,"Franklin 3-1",433,493,38,2,78,"1,044"
"St. Albans Town",-,"Franklin 3-2",914,969,76,3,166,"2,129"
"St. George",,,186,129,12,0,36,363
"St. Johnsbury",,,"1,395","1,254",183,1,217,"3,052"
Stamford,,,174,211,20,0,71,481
Stannard,,,58,25,6,0,14,103
Starksboro,,,517,324,30,0,72,943
Stockbridge,,,202,165,29,0,35,431
Stowe,,,"1,429",978,120,5,360,"2,893"
Strafford,,,455,142,31,0,77,705
Stratton,,,44,69,6,0,10,129
Sudbury,,,162,125,9,0,30,326
Sunderland,-,"Bennington 3",59,41,5,0,14,119
Sunderland,-,"Bennington 4",184,155,20,0,49,408
Sutton,,,167,205,42,0,51,465
Swanton,,,"1,131","1,293",126,5,157,"2,712"
Thetford,,,"1,011",374,81,2,185,"1,653"
Tinmouth,-,"Rutland 2",36,34,3,0,5,78
Tinmouth,-,Rutland-Bennington,111,87,15,0,9,222
Topsham,,,217,268,32,0,66,583
Townshend,,,349,211,53,1,80,694
Troy,-,"Orleans 2",62,79,17,0,15,173
Troy,-,Orleans-Lamoille,210,184,50,0,36,480
Tunbridge,,,358,250,44,0,66,718
Underhill,,,"1,051",702,42,0,197,"1,992"
Vergennes,,,682,422,45,1,99,"1,250"
Vernon,,,416,518,56,1,149,"1,141"
Vershire,,,187,116,24,0,39,367
Victory,,,26,28,1,0,13,68
Waitsfield,,,634,300,56,0,144,"1,134"
Walden,,,252,178,45,1,51,527
Wallingford,,,460,497,48,0,126,"1,131"
Waltham,,,141,115,7,0,21,284
Wardsboro,,,184,146,30,0,42,403
Warren,,,641,269,53,0,126,"1,089"
Washington,,,200,272,26,0,58,557
Waterbury,,,"1,738",878,105,3,363,"3,088"
Waterford,,,269,379,32,1,62,743
Waterville,,,144,167,20,0,50,381
Weathersfield,,,664,683,109,0,143,"1,599"
Wells,,,204,301,29,0,47,581
"W. Fairlee",,,148,106,17,0,34,305
"W. Haven",,,51,77,4,0,10,142
"W. Rutland",,,383,531,60,1,75,"1,051"
"W. Windsor",,,350,251,39,0,81,722
Westfield,,,144,119,23,0,20,306
Westford,,,578,508,49,0,146,"1,281"
Westminster,-,"Windham 3",37,27,6,0,7,77
Westminster,-,"Windham 4",905,354,91,1,137,"1,489"
Westmore,,,89,88,21,0,23,221
Weston,,,211,145,16,0,45,417
Weybridge,,,354,168,13,0,32,567
Wheelock,,,156,174,31,1,39,404
Whiting,,,101,71,10,0,17,199
Whitingham,-,"Windham 6",244,275,34,0,69,622
Whitingham,-,Windham-Bennington,16,11,3,0,1,31
Williamstown,,,644,718,76,1,132,"1,573"
Williston,,,"2,812","2,140",133,2,616,"5,709"
Wilmington,,,482,350,82,0,148,"1,063"
Windham,,,123,108,19,0,37,287
Windsor,,,893,506,149,1,170,"1,719"
Winhall,,,254,194,15,0,66,531
Winooski,,,"1,938",672,145,2,352,"3,113"
Wolcott,,,390,301,51,0,67,810
Woodbury,,,285,176,31,0,45,537
Woodford,,,88,58,11,0,26,183
Woodstock,,,"1,054",562,67,1,228,"1,912"
Worcester,,,383,148,34,1,34,600
TOTALS,,,"159,695","113,231","15,099",228,"32,064","320,467"
