City/Town,Ward,Pct,"Phil Scott","Sue Minter","Bill ""Spaceman"" Lee",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,"Liberty Union"
Williamstown,,,"1,164",361,31,0,16,"1,573"
Williston,,,"3,153","2,371",93,2,85,"5,709"
Wilmington,,,470,530,42,0,21,"1,063"
Windham,,,195,75,12,0,5,287
Windsor,,,734,858,92,0,33,"1,719"
Winhall,,,281,220,17,0,12,531
Winooski,,,"1,057","1,885",90,2,76,"3,113"
Wolcott,,,477,295,29,0,8,810
Woodbury,,,305,204,23,0,5,537
Woodford,,,85,83,10,0,5,183
Woodstock,,,792,"1,048",54,0,18,"1,912"
Worcester,,,277,305,15,0,3,600
TOTALS,,,"166,817","139,253","8,912",313,"4,954","320,467"
