City/Town,Ward,Pct,"Daniel Noyes","Matthew Hill","Riki French","Lucien G. Gravel",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Belvidere,,,41,41,81,85,1,75,0,324
"Hyde Park",,,687,610,663,535,7,620,2,"3,124"
Johnson,,,572,714,413,370,5,596,0,"2,670"
Wolcott,,,456,335,263,317,4,244,1,"1,620"
TOTALS,,,"1,756","1,700","1,420","1,307",17,"1,535",3,"7,738"
