City/Town,Ward,Pct,"Tim Briglin","Jim Masland",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Democratic
Norwich,,,"1,856","1,831",16,960,3,"4,666"
Sharon,,,504,525,11,489,3,"1,532"
Strafford,,,521,533,1,350,5,"1,410"
Thetford,,,"1,241","1,226",24,1,3,"2,495"
TOTALS,,,"4,122","4,115",52,"1,800",14,"10,103"
