City/Town,Ward,Pct,"Job Tate",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Republican
Bridgewater,,,383,4,139,0,526
Chittenden,,,569,23,171,4,767
Killington,,,518,6,146,0,670
Mendon,,,526,12,116,0,654
TOTALS,,,"1,996",45,572,4,"2,617"
