City/Town,Ward,Pct,"Linda J. Martin","Harold Bailey",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Hyde Park",,,688,789,1,0,"1,478"
Wolcott,,,515,210,3,0,728
TOTALS,,,"1,203",999,4,0,"2,206"
