City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin","Steven H. Edgerley","Tom Stelter","John K. Hall",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic,Independent
Coventry,,,240,160,114,96,96,1,0,707
Irasburg,,,195,251,180,272,120,0,0,"1,018"
"Newport City",,,826,813,724,388,434,3,0,"3,188"
"Newport Town",,,340,340,322,167,201,2,0,"1,372"
TOTALS,,,"1,601","1,564","1,340",923,851,6,0,"6,285"
