City/Town,Ward,Pct,"Rick Hube","Jean Cavanagh",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Independent
Jamaica,,,305,181,0,0,486
Londonderry,,,471,510,4,0,985
Stratton,,,83,46,0,0,129
Weston,,,196,176,0,0,372
Winhall,,,324,154,0,0,478
TOTALS,,,"1,379","1,067",4,0,"2,450"
