City/Town,Ward,Pct,"John W. Malcolm","Estelle Leach",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Middletown Springs",,,257,199,3,0,459
Pawlet,,,418,323,0,0,741
Rupert,,,212,161,1,0,374
Wells,,,224,305,0,0,529
TOTALS,,,"1,111",988,4,0,"2,103"
