City/Town,Ward,Pct,"Bob Rusten",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Halifax,,,348,14,0,362
Whitingham,,,525,14,0,539
Wilmington,,,"1,006",28,0,"1,034"
TOTALS,,,"1,879",56,0,"1,935"
