City/Town,Ward,Pct,"Martha Heath","Tom James",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Essex,,,724,597,3,0,"1,324"
Westford,,,677,397,2,0,"1,076"
TOTALS,,,"1,401",994,5,0,"2,400"
